"genus_species","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"Acanthopagrus omanensis","Iwatsuki &amp; Heemstra, in press","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.145,NA
"Acanthopagrus akazakii","Iwatsuki, Kimura &amp; Yoshino, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.185,NA
"Acanthopagrus taiwanensis","Iwatsuki &amp; Carpenter, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1839999962,NA
"Sparidentex belayewi","Hora &amp; Misra, 1943","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1929999924,NA
"Lithognathus olivieri","Penrith &amp; Penrith, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2560000038,NA
"Acanthopagrus latus","(Houttuyn, 1782)","dd",3.2,12.7,51.7333,95,NA,3.2,1500,"demersal",0.5,NA
"Spicara martinicus","(Valenciennes, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",NA,NA
"Prionurus scalprum","Valenciennes, 1835","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,NA
"Naso reticulatus","Randall, 2001","dd",NA,NA,NA,NA,NA,NA,2250,"reef-associated",0.49,NA
"Prionurus chrysurus","Randall, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,22.5
"Zebrasoma gemmatum","(Valenciennes, 1835)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.22,35.5
"Acanthurus polyzona","(Bleeker, 1868)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,NA
"Zebrasoma rostratum","(Günther, 1875)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.21,NA
"Naso tuberosus","Lacepède, 1801","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA
"Myxodes ornatus","Stephens &amp; Springer, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Ophiclinops pardalis","(McCulloch &amp; Waite, 1918)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.07,NA
"Enneapterygius sheni","Chiang &amp; Chen, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.02299999952,7.5
"Helcogramma solorensis","Fricke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03900000095,5
"Helcogramma larvata","Fricke &amp; Randall, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02220000029,1
"Helcogramma maldivensis","Fricke &amp; Randall, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0275999999,5
"Helcogrammoides antarcticus","(Tomo, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05900000095,NA
"Neopomacentrus taeniurus","(Bleeker, 1856)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,1.5
"Neosalanx brevirostris","(Pellegrin, 1923)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07,NA
"Cathorops fuerthii","(Steindachner, 1877)","dd",2.2,8.3,25.42,29,NA,4.4,NA,"demersal",0.28,NA
"Hyporhamphus rosae","(Jordan &amp; Gilbert, 1880)","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.15,NA
"Spaniblennius riodourensis","(Metzelaar, 1919)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05099999905,23.5
"Parablennius verryckeni","(Poll, 1959)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04900000095,NA
"Spaniblennius clandestinus","Bath &amp; Wirtz, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Bathyblennius antholops","(Springer &amp; Smith-Vaniz, 1970)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05360000134,114.5
"Malacoctenus africanus","Cadenat, 1951","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07349999905,NA
"Microlipophrys bauchotae","(Wirtz &amp; Bath, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04349999905,NA
"Astrapogon stellatus","(Cope, 1867)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,20.5
"Derilissus vittiger","Fraser, 1970","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.01860000014,NA
"Derilissus kremnobates","Fraser, 1970","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0275999999,205.5
"Robinsichthys arrowsmithensis","Birdsong, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.02299999952,344
"Varicus marilynae","Gilmore, 1979","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.025,76
"Vomerogobius flavus","Gilbert, 1971","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Evermannichthys bicolor","Thacker, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03,28.5
"Evermannichthys silus","Böhlke &amp; Robins, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03,NA
"Evermannichthys convictor","Böhlke &amp; Robins, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03,NA
"Chriolepis benthonis","Ginsburg, 1953","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,252
"Coryphopterus kuna","Victor, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.01710000038,20
"Gobioides grahamae","Palmer &amp; Wheeler, 1955","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1729999924,NA
"Lipogramma flavescens","Gilmore &amp; Jones, 1988","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02210000038,235
"Tomicodon clarkei","Williams &amp; Tyler, 2003","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,2.5
"Tomicodon lavettsmithi","Williams &amp; Tyler, 2003","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02670000076,0.5
"Abudefduf margariteus","(Cuvier, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.16,5
"Stegastes otophorus","(Poey, 1860)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,1.5
"Clinus ornatus","Gilchrist &amp; Thompson, 1908","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.175,NA
"Lutjanus buccanella","(Cuvier, 1828)","dd",5.5,23.8,41.27,64,NA,3.9,14000,"reef-associated",0.75,NA
"Haemulon album","Cuvier, 1830","dd",3.3,14.3,20.0504,24,NA,3.2,7140,"reef-associated",0.79,NA
"Callechelys springeri","(Ginsburg, 1951)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.8009999847,29
"Lutjanus jocu","(Bloch &amp; Schneider, 1801)","dd",6.3,28.7,68.3867,77,NA,4.3,28570,"reef-associated",1.28,NA
"Catesbya pseudomuraena","Böhlke &amp; Smith, 1968","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1394999981,NA
"Genyatremus cavifrons","(Cuvier, 1830)","dd",NA,NA,NA,NA,NA,NA,10,"pelagic-neritic",0.1260000038,NA
"Albula nemoptera","(Fowler, 1911)","dd",1.7,6.8,45.8,48,NA,NA,NA,NA,0.51,NA
"Akko dionaea","Birdsong &amp; Robins, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08050000191,NA
"Membras vagrans","(Goode &amp; Bean, 1879)","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",NA,NA
"Gobiomorus polylepis","Ginsburg, 1953","dd",2.7,10.1,1,1,NA,NA,NA,"demersal",0.28,NA
"Eviota nigriventris","Giltay, 1933","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03,NA
"Eviota pseudostigma","Lachner &amp; Karnella, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02059999943,NA
"Eviota herrei","Jordan &amp; Seale, 1906","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.01399999976,3
"Gobiodon spilophthalmus","Fowler, 1944","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03599999905,NA
"Lotilia graciliosa","Klausewitz, 1960","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,22.5
"Stiphodon percnopterygionus","Watson &amp; Chen, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0374000001,NA
"Chelonodon dapsilis","Whitley 1943","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",NA,NA
"Canthigaster flavoreticulata","Matsuura, 1986","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,104.5
"Arothron carduus","(Cantor, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Sphoeroides andersonianus","Morrow, 1957","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Sphoeroides georgemilleri","Shipp, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Takifugu variomaculatus","Li &amp; Kuang, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1371000004,NA
"Torquigener randalli","Hardy, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1269999981,73.5
"Torquigener marleyi","Fowler, 1929","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Canthigaster investigatoris","(Annandale &amp; Jenkins, 1910)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Tetraodon implutus","Jenyns, 1842","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Torquigener hicksi","Hardy, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,NA
"Lagocephalus cheesemanii","(Clarke, 1897)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Sphoeroides nitidus","Griffin, 1921","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Arothron leopardus","(Day, 1878)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Acanthostracion notacanthus","(Bleeker, 1863)","dd",0.1,0,1.08333,1,NA,NA,NA,"demersal",0.5,NA
"Canthigaster punctata","Matsuura, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Takifugu basilevskianus","Basilewsky, 1855","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Takifugu pseudommus","(Chu, 1935)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,NA
"Emblemariopsis arawak","Victor, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.02,10
"Albula argentea","(Forster, 1801)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.7,46
"Albula oligolepis","Hidaka, Iwatsuki &amp; Randall, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3540000153,NA
"Albula virgata","Jordan &amp; Jordan, 1922","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3220000076,NA
"Pterothrissus gissu","Hilgendorf, 1877","dd",1.7,6.8,4.065,4,NA,3.3,NA,"benthopelagic",0.5,NA
"Elops hawaiensis","Regan, 1909","dd",NA,NA,NA,NA,NA,NA,10060,"pelagic-neritic",1.2,15.5
"Elops smithi","McBride, Rocha, Ruiz-Carus &amp; Bowen, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.44,NA
"Lutjanus agennes","Bleeker, 1863","dd",NA,NA,NA,NA,NA,NA,60000,"reef-associated",1.39,NA
"Paracaesio waltervadi","Anderson &amp; Collette, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4290000153,29
"Ocyurus chrysurus","(Bloch, 1791)","dd",5.2,22,65.61,91,NA,4,4070,"reef-associated",0.863,NA
"Lutjanus goreensis","(Valenciennes, 1830)","dd",3.4,15.1,19.0167,30,NA,4,NA,"reef-associated",0.8,NA
"Lutjanus endecacanthus","Bleeker, 1863","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.85,17.5
"Lutjanus dentatus","(Duméril, 1861)","dd",NA,NA,NA,NA,NA,NA,50000,"reef-associated",1.5,NA
"Paracaesio paragrapsimodon","Anderson &amp; Kailola, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.275,NA
"Anisotremus surinamensis","(Bloch, 1791)","dd",4.3,19.1,66.4191,69,NA,3.2,5780,"reef-associated",0.76,NA
"Parakuhlia macrophthalmus","(Osório, 1893)","dd",1.6,5.5,2.13222,2,NA,NA,NA,"demersal",0.2,NA
"Plectorhinchus chubbi","(Regan, 1919)","dd",NA,NA,NA,NA,NA,NA,5000,"reef-associated",0.75,NA
"Plectorhinchus mediterraneus","(Guichenot, 1850)","dd",3.7,16.2,59.09,31,"carnivorous",3.5,7920,"demersal",0.55,27.5
"Salilota australis","(Günther, 1878)","dd",2.3,9.2,50.14997,68,NA,4.4,NA,"demersal",0.5,NA
"Patagonotothen ramsayi","(Regan, 1913)","dd",2.5,10.2,39.4986,39,NA,3.5,NA,"benthopelagic",0.44,NA
"Bathygobius geminatus","Tornabene, Baldwin &amp; Pezold, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.03799999952,NA
"Chlopsis dentatus","(Seale, 1917)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1989999962,209.5
"Anarchias supremus","McCosker &amp; Stewart, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1910000038,NA
"Diaphenchelys pelonates","McCosker &amp; Randall, 2007","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.465,23.5
"Enchelycore nycturanus","Smith, 2002","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2229999924,NA
"Gymnothorax austrinus","Böhlke &amp; McCosker, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Gymnothorax bacalladoi","Böhlke &amp; Brito, 1987","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3470000076,310.5
"Gymnothorax hansi","Heemstra, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Gymnothorax polyspondylus","Böhlke &amp; Randall, 2000","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,190
"Gymnothorax prolatus","Sasaki &amp; Amaoka, 1991","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3704999924,NA
"Gymnothorax randalli","Smith &amp; Böhlke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Gymnothorax sagmacephalus","Böhlke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5340000153,NA
"Gymnothorax shaoi","Chen &amp; Loh, 2007","dd",NA,NA,NA,NA,NA,NA,467.7999878,"benthopelagic",0.6859999847,NA
"Gymnothorax sokotrensis","Kotthaus, 1968","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Gymnothorax vagrans","(Seale, 1917)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Uropterygius genie","Randall &amp; Golani, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1779999924,9
"Uropterygius golanii","McCosker &amp; Smith, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4529999924,5
"Myroconger compressus","Günther, 1870","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5379999924,NA
"Derilissus nanus","Briggs, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.01409999967,40
"Gramma dejongi","Victor &amp; Randall, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.045,17.5
"Parioglossus lineatus","Rennis &amp; Hoese, 1985","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Sicyopterus macrostetholepis","(Bleeker, 1853)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1030000019,NA
"Taenioides cirratus","(Blyth, 1860)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,3
"Kuhlia munda","(De Vis, 1884)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1339999962,NA
"Rhyacichthys guilberti","Dingerkus &amp; Séret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,2.5
"Oneirodes bradburyae","Grey, 1956","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Parasaccogaster rhamphidognatha","(Cohen, 1987)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.06,NA
"Eustomias leptobolus","Regan &amp; Trewavas, 1930","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,NA
"Sciades passany","(Valenciennes, 1840)","dd",6.2,28.8,7.71957,8,NA,NA,15000,"demersal",1,NA
"Rhombosolea retiaria","Hutton, 1874","dd",2.3,8.3,2.4667,2,NA,NA,NA,"demersal",0.25,NA
"Ariosoma anago","(Temminck &amp; Schlegel, 1846)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6,16
"Ophichthus leonensis","Blache, 1975","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2320000076,NA
"Heteroconger tricia","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4959999847,NA
"Promyllantor atlanticus","Karmovskaya, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.5179999924,NA
"Ichthyapus insularis","McCosker, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4270000076,0.5
"Ariosoma obud","Herre, 1923","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Gorgasia sillneri","Klausewitz, 1962","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.8380000305,NA
"Gorgasia inferomaculata","(Blache, 1977)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ariosoma bauchotae","Karrer, 1982","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"Hemerorhinus opici","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.325,NA
"Ariosoma multivertebratum","Karmovskaya, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.5420000076,380
"Heteroconger tomberua","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4279999924,NA
"Xyrias guineensis","(Blache, 1975)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6359999847,NA
"Ariosoma ophidiophthalmus","Karmovskaya, 1991","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ariosoma anagoides","(Bleeker, 1853)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.51,130
"Dalophis obtusirostris","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3879999924,NA
"Ariosoma nigrimanum","Norman, 1939","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.335,NA
"Heteroconger chapmani","(Herre, 1923)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.69,NA
"Herpetoichthys regius","(Richardson, 1848)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.9,NA
"Gnathophis xenica","(Matsubara &amp; Ochiai, 1951)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.32,NA
"Acromycter longipectoralis","Karmovskaya, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Gnathophis heterolinea","(Kotthaus, 1968)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,210
"Kenyaconger heemstrai","Smith &amp; Karmovskaya, 2003","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2670000076,NA
"Dalophis multidentatus","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1530000019,NA
"Castleichthys auritus","Smith, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Apterichtus gracilis","(Kaup, 1856)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3189999962,NA
"Conger philippinus","Kanazawa, 1958","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Histiobranchus bathybius","(Günther, 1877)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.37,2867.5
"Gordiichthys ergodes","McCosker, Böhlke &amp; Böhlke, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,99.5
"Bathycongrus bleekeri","Fowler, 1934","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.08,NA
"Ariosoma mellissii","(Günther, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4279999924,NA
"Ariosoma megalops","Fowler, 1938","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1489999962,NA
"Bathycongrus trilineatus","(Castle, 1964)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,225
"Rhynchoconger squaliceps","(Alcock, 1894)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ariosoma sazonovi","Karmovskaya, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,300
"Bascanichthys inopinatus","McCosker, Böhlke &amp; Böhlke, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Paraconger ophichthys","(Garman, 1899)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,976.5
"Gorgasia cotroneii","(D'Ancona, 1928)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Heteroconger balteatus","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Albula koreana","Kwun &amp; Kim, 2011","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.3500999832,NA
"Ilisha obfuscata","Wongratana, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.07400000095,25
"Pellona dayi","Wongratana, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.135,25
"Upeneus indicus","Uiblein &amp; Heemstra, 2010","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.14,NA
"Acentrogobius ennorensis","Menon &amp; Rema Devi, 1980","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05800000191,NA
"Awaous fluviatilis","(Rao, 1971)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.01700000048,NA
"Oligolepis dasi","(Talwar, Chatterjee &amp; Dev Roy, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Oxyurichthys paulae","Pezold, 1998","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06840000153,NA
"Parapocryptes rictuosus","(Valenciennes, 1837)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"Silhouettea indica","Visweswara Rao, 1971","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.035,NA
"Cynoglossus dubius","Day, 1873","dd",4.3,17.8,17.85,17,NA,3.5,NA,"demersal",0.5,NA
"Zebrias annandalei","Talwar &amp; Chakrapany, 1967","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Zebrias keralensis","Joglekar, 1976","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Scyliorhinus haeckelii","(Miranda Ribeiro, 1907)","dd",1.9,7.7,44.3327789307,24,NA,NA,NA,"demersal",0.6,NA
"Cirrhigaleus asper","(Merrett, 1973)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",1.2,425
"Plecoglossus altivelis","(Temminck &amp; Schlegel, 1846)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.7,NA
"Eleotris sandwicensis","Vaillant &amp; Sauvage, 1875","dd",3.1,11.8,1,1,NA,NA,NA,NA,0.33,NA
"Lentipes concolor","(Gill, 1860)","dd",1.4,4,1.7414,3,NA,NA,NA,NA,0.07,NA
"Luciogobius pallidus","Regan, 1940","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Mordacia lapicida","(Gray, 1851)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.54,NA
"Foa madagascariensis","Petit, 1931","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,5.5
"Paraliparis plagiostomus","Stein, Chernova &amp; Andriashev, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1369999981,NA
"Cnidoglanis macrocephalus","(Valenciennes, 1840)","dd",3.2,14.4,19.745,41,NA,2.8,2500,"demersal",0.91,NA
"Callionymus leucobranchialis","Fowler, 1941","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Thamnaconus melanoproctes","(Boulenger, 1889)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,115
"Bathycongrus retrotinctus","(Jordan &amp; Snyder, 1901)","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.54,300
"Apogon semilineatus","Temminck &amp; Schlegel, 1842","dd",0.8,2.3,47.98,40,NA,3.4,NA,NA,0.12,NA
"Coelorinchus velifer","Gilbert &amp; Hubbs, 1920","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,346.5
"Suezichthys bifurcatus","Russell, 1986","dd",1.2,3.4,1,1,NA,NA,NA,"demersal",0.09,NA
