"genus_species","iucn_authority","iucn_category","lat_range","long_range","trophic_level","mature_age","longevity","diet","mass_g","length_m","depth_num","depth_zone"
"Acanthopagrus latus","(Houttuyn, 1782)","dd",51.7333,95,3.2,3.2,12.7,NA,1500,0.5,NA,NA
"Spicara martinicus","(Valenciennes, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic"
"Prionurus scalprum","Valenciennes, 1835","dd",NA,NA,NA,NA,NA,NA,NA,0.5,NA,"reef-associated"
"Naso reticulatus","Randall, 2001","dd",NA,NA,NA,NA,NA,NA,2250,0.49,NA,"reef-associated"
"Prionurus chrysurus","Randall, 2001","dd",NA,NA,NA,NA,NA,NA,NA,0.3,22.5,"reef-associated"
"Zebrasoma gemmatum","(Valenciennes, 1835)","dd",NA,NA,NA,NA,NA,NA,NA,0.22,35.5,"reef-associated"
"Acanthurus polyzona","(Bleeker, 1868)","dd",NA,NA,NA,NA,NA,NA,NA,0.11,NA,"reef-associated"
"Zebrasoma rostratum","(G<fc>nther, 1875)","dd",NA,NA,NA,NA,NA,NA,NA,0.21,NA,"reef-associated"
"Naso tuberosus","Lacep<e8>de, 1801","dd",NA,NA,NA,NA,NA,NA,NA,0.6,NA,"reef-associated"
"Myxodes ornatus","Stephens &amp; Springer, 1974","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"benthopelagic"
"Ophiclinops pardalis","(McCulloch &amp; Waite, 1918)","dd",NA,NA,NA,NA,NA,NA,NA,0.07,NA,"benthopelagic"
"Enneapterygius sheni","Chiang &amp; Chen, 2008","dd",NA,NA,NA,NA,NA,NA,NA,0.02299999952,7.5,"pelagic-neritic"
"Helcogramma solorensis","Fricke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,0.03900000095,5,"demersal"
"Helcogramma larvata","Fricke &amp; Randall, 1992","dd",NA,NA,NA,NA,NA,NA,NA,0.02220000029,1,"demersal"
"Helcogramma maldivensis","Fricke &amp; Randall, 1992","dd",NA,NA,NA,NA,NA,NA,NA,0.0275999999,5,"demersal"
"Helcogrammoides antarcticus","(Tomo, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,0.05900000095,NA,"demersal"
"Neopomacentrus taeniurus","(Bleeker, 1856)","dd",NA,NA,NA,NA,NA,NA,NA,0.1,1.5,"demersal"
"Neosalanx brevirostris","(Pellegrin, 1923)","dd",NA,NA,NA,NA,NA,NA,NA,0.07,NA,"demersal"
"Cathorops fuerthii","(Steindachner, 1877)","dd",25.42,29,4.4,2.2,8.3,NA,NA,0.28,NA,NA
"Hyporhamphus rosae","(Jordan &amp; Gilbert, 1880)","dd",NA,NA,NA,NA,NA,NA,NA,0.15,NA,"pelagic-neritic"
"Spaniblennius riodourensis","(Metzelaar, 1919)","dd",NA,NA,NA,NA,NA,NA,NA,0.05099999905,23.5,"demersal"
"Parablennius verryckeni","(Poll, 1959)","dd",NA,NA,NA,NA,NA,NA,NA,0.04900000095,NA,"demersal"
"Spaniblennius clandestinus","Bath &amp; Wirtz, 1989","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Bathyblennius antholops","(Springer &amp; Smith-Vaniz, 1970)","dd",NA,NA,NA,NA,NA,NA,NA,0.05360000134,114.5,"demersal"
"Malacoctenus africanus","Cadenat, 1951","dd",NA,NA,NA,NA,NA,NA,NA,0.07349999905,NA,"demersal"
"Microlipophrys bauchotae","(Wirtz &amp; Bath, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,0.04349999905,NA,"demersal"
"Astrapogon stellatus","(Cope, 1867)","dd",NA,NA,NA,NA,NA,NA,NA,0.08,20.5,"reef-associated"
"Derilissus vittiger","Fraser, 1970","dd",NA,NA,NA,NA,NA,NA,NA,0.01860000014,NA,"demersal"
"Derilissus kremnobates","Fraser, 1970","dd",NA,NA,NA,NA,NA,NA,NA,0.0275999999,205.5,"demersal"
"Robinsichthys arrowsmithensis","Birdsong, 1988","dd",NA,NA,NA,NA,NA,NA,NA,0.02299999952,344,"bathydemersal"
"Varicus marilynae","Gilmore, 1979","dd",NA,NA,NA,NA,NA,NA,NA,0.025,76,"demersal"
"Vomerogobius flavus","Gilbert, 1971","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Evermannichthys bicolor","Thacker, 2001","dd",NA,NA,NA,NA,NA,NA,NA,0.03,28.5,"demersal"
"Evermannichthys silus","B<f6>hlke &amp; Robins, 1969","dd",NA,NA,NA,NA,NA,NA,NA,0.03,NA,"demersal"
"Evermannichthys convictor","B<f6>hlke &amp; Robins, 1969","dd",NA,NA,NA,NA,NA,NA,NA,0.03,NA,"demersal"
"Chriolepis benthonis","Ginsburg, 1953","dd",NA,NA,NA,NA,NA,NA,NA,NA,252,"demersal"
"Coryphopterus kuna","Victor, 2007","dd",NA,NA,NA,NA,NA,NA,NA,0.01710000038,20,"benthopelagic"
"Gobioides grahamae","Palmer &amp; Wheeler, 1955","dd",NA,NA,NA,NA,NA,NA,NA,0.1729999924,NA,"demersal"
"Lipogramma flavescens","Gilmore &amp; Jones, 1988","dd",NA,NA,NA,NA,NA,NA,NA,0.02210000038,235,"demersal"
"Tomicodon clarkei","Williams &amp; Tyler, 2003","dd",NA,NA,NA,NA,NA,NA,NA,NA,2.5,"demersal"
"Tomicodon lavettsmithi","Williams &amp; Tyler, 2003","dd",NA,NA,NA,NA,NA,NA,NA,0.02670000076,0.5,"demersal"
"Abudefduf margariteus","(Cuvier, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,0.16,5,"reef-associated"
"Stegastes otophorus","(Poey, 1860)","dd",NA,NA,NA,NA,NA,NA,NA,0.13,1.5,"demersal"
"Clinus ornatus","Gilchrist &amp; Thompson, 1908","dd",NA,NA,NA,NA,NA,NA,NA,0.175,NA,"demersal"
"Lutjanus buccanella","(Cuvier, 1828)","dd",41.27,64,3.9,3.1,23.7,"generalist",14000,0.73,NA,"reef-associated"
"Haemulon album","Cuvier, 1830","dd",20.0504,24,3.2,3.3,14.3,NA,7140,0.79,NA,NA
"Callechelys springeri","(Ginsburg, 1951)","dd",NA,NA,NA,NA,NA,NA,NA,0.8009999847,29,"demersal"
"Lutjanus jocu","(Bloch &amp; Schneider, 1801)","dd",68.3867,77,4.3,6.3,28.7,NA,28570,1.28,NA,NA
"Catesbya pseudomuraena","B<f6>hlke &amp; Smith, 1968","dd",NA,NA,NA,NA,NA,NA,NA,0.1394999981,NA,"reef-associated"
"Genyatremus cavifrons","(Cuvier, 1830)","dd",NA,NA,NA,NA,NA,NA,10,0.1260000038,NA,"pelagic-neritic"
"Albula nemoptera","(Fowler, 1911)","dd",45.8,48,NA,1.7,6.8,NA,NA,0.51,NA,NA
"Akko dionaea","Birdsong &amp; Robins, 1995","dd",NA,NA,NA,NA,NA,NA,NA,0.08050000191,NA,"demersal"
"Membras vagrans","(Goode &amp; Bean, 1879)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic"
"Gobiomorus polylepis","Ginsburg, 1953","dd",1,1,NA,2.7,10.1,NA,NA,0.28,NA,NA
"Eviota nigriventris","Giltay, 1933","dd",NA,NA,NA,NA,NA,NA,NA,0.03,NA,"reef-associated"
"Eviota pseudostigma","Lachner &amp; Karnella, 1980","dd",NA,NA,NA,NA,NA,NA,NA,0.02059999943,NA,"demersal"
"Eviota herrei","Jordan &amp; Seale, 1906","dd",NA,NA,NA,NA,NA,NA,NA,0.01399999976,3,"reef-associated"
"Gobiodon spilophthalmus","Fowler, 1944","dd",NA,NA,NA,NA,NA,NA,NA,0.03599999905,NA,"reef-associated"
"Lotilia graciliosa","Klausewitz, 1960","dd",NA,NA,NA,NA,NA,NA,NA,0.045,22.5,"reef-associated"
"Stiphodon percnopterygionus","Watson &amp; Chen, 1998","dd",NA,NA,NA,NA,NA,NA,NA,0.0374000001,NA,"demersal"
"Chelonodon dapsilis","Whitley 1943","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic"
"Canthigaster flavoreticulata","Matsuura, 1986","dd",NA,NA,NA,NA,NA,NA,NA,NA,104.5,"reef-associated"
"Arothron carduus","(Cantor, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Sphoeroides andersonianus","Morrow, 1957","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Sphoeroides georgemilleri","Shipp, 1972","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Takifugu variomaculatus","Li &amp; Kuang, 2002","dd",NA,NA,NA,NA,NA,NA,NA,0.1371000004,NA,"demersal"
"Torquigener randalli","Hardy, 1983","dd",NA,NA,NA,NA,NA,NA,NA,0.1269999981,73.5,"demersal"
"Torquigener marleyi","Fowler, 1929","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef-associated"
"Canthigaster investigatoris","(Annandale &amp; Jenkins, 1910)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Tetraodon implutus","Jenyns, 1842","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Torquigener hicksi","Hardy, 1983","dd",NA,NA,NA,NA,NA,NA,NA,0.13,NA,"demersal"
"Lagocephalus cheesemanii","(Clarke, 1897)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Sphoeroides nitidus","Griffin, 1921","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Arothron leopardus","(Day, 1878)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Acanthostracion notacanthus","(Bleeker, 1863)","dd",1.08333,1,NA,0.1,0,NA,NA,0.5,NA,NA
"Canthigaster punctata","Matsuura, 1992","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef-associated"
"Takifugu basilevskianus","Basilewsky, 1855","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef-associated"
"Takifugu pseudommus","(Chu, 1935)","dd",NA,NA,NA,NA,NA,NA,NA,0.35,NA,"demersal"
"Emblemariopsis arawak","Victor, 2010","dd",NA,NA,NA,NA,NA,NA,NA,0.02,10,"reef-associated"
"Albula argentea","(Forster, 1801)","dd",NA,NA,NA,NA,NA,NA,NA,0.7,46,"demersal"
"Albula oligolepis","Hidaka, Iwatsuki &amp; Randall, 2008","dd",NA,NA,NA,NA,NA,NA,NA,0.3540000153,NA,"reef-associated"
"Albula virgata","Jordan &amp; Jordan, 1922","dd",NA,NA,NA,NA,NA,NA,NA,0.3220000076,NA,"reef-associated"
"Pterothrissus gissu","Hilgendorf, 1877","dd",4.065,4,3.3,1.7,6.8,NA,NA,0.5,NA,NA
"Elops hawaiensis","Regan, 1909","dd",NA,NA,NA,NA,NA,NA,10060,1.2,15.5,"pelagic-neritic"
"Elops smithi","McBride, Rocha, Ruiz-Carus &amp; Bowen, 2010","dd",NA,NA,NA,NA,NA,NA,NA,0.44,NA,"pelagic-neritic"
"Lutjanus agennes","Bleeker, 1863","dd",NA,NA,NA,NA,NA,NA,60000,1.39,NA,"reef-associated"
"Paracaesio waltervadi","Anderson &amp; Collette, 1992","dd",NA,NA,NA,NA,NA,NA,NA,0.4290000153,29,"demersal"
"Ocyurus chrysurus","(Bloch, 1791)","dd",65.61,91,4,2,14,"generalist",4070,0.443,NA,"reef-associated"
"Lutjanus goreensis","(Valenciennes, 1830)","dd",19.0167,30,4,3.4,15.1,NA,NA,0.8,NA,NA
"Lutjanus endecacanthus","Bleeker, 1863","dd",NA,NA,NA,NA,NA,NA,NA,0.85,17.5,"reef-associated"
"Lutjanus dentatus","(Dum<e9>ril, 1861)","dd",NA,NA,NA,NA,NA,NA,50000,1.5,NA,"reef-associated"
"Paracaesio paragrapsimodon","Anderson &amp; Kailola, 1992","dd",NA,NA,NA,NA,NA,NA,NA,0.275,NA,"bathydemersal"
"Anisotremus surinamensis","(Bloch, 1791)","dd",66.4191,69,3.2,2,11,"benthivorous",5780,0.76,NA,"reef-associated"
"Parakuhlia macrophthalmus","(Os<f3>rio, 1893)","dd",2.13222,2,NA,1.6,5.5,NA,NA,0.2,NA,NA
"Plectorhinchus chubbi","(Regan, 1919)","dd",NA,NA,NA,NA,NA,NA,5000,0.75,NA,"reef-associated"
"Plectorhinchus mediterraneus","(Guichenot, 1850)","dd",59.09,31,3.5,3.7,16.2,"carnivorous",7920,0.55,27.5,NA
"Salilota australis","(G<fc>nther, 1878)","dd",50.14997,68,4.4,2.3,9.2,NA,NA,0.5,NA,NA
"Patagonotothen ramsayi","(Regan, 1913)","dd",39.4986,39,3.5,2.5,10.2,NA,NA,0.44,NA,NA
"Bathygobius geminatus","Tornabene, Baldwin &amp; Pezold, 2010","dd",NA,NA,NA,NA,NA,NA,NA,0.03799999952,NA,"benthopelagic"
"Chlopsis dentatus","(Seale, 1917)","dd",NA,NA,NA,NA,NA,NA,NA,0.1989999962,209.5,"demersal"
"Anarchias supremus","McCosker &amp; Stewart, 2006","dd",NA,NA,NA,NA,NA,NA,NA,0.1910000038,NA,"demersal"
"Diaphenchelys pelonates","McCosker &amp; Randall, 2007","dd",NA,NA,NA,NA,NA,NA,NA,0.465,23.5,"demersal"
"Enchelycore nycturanus","Smith, 2002","dd",NA,NA,NA,NA,NA,NA,NA,0.2229999924,NA,"demersal"
"Gymnothorax austrinus","B<f6>hlke &amp; McCosker, 2001","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Gymnothorax bacalladoi","B<f6>hlke &amp; Brito, 1987","dd",NA,NA,NA,NA,NA,NA,NA,0.3470000076,310.5,"bathydemersal"
"Gymnothorax hansi","Heemstra, 2004","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef-associated"
"Gymnothorax polyspondylus","B<f6>hlke &amp; Randall, 2000","dd",NA,NA,NA,NA,NA,NA,NA,NA,190,"demersal"
"Gymnothorax prolatus","Sasaki &amp; Amaoka, 1991","dd",NA,NA,NA,NA,NA,NA,NA,0.3704999924,NA,"demersal"
"Gymnothorax randalli","Smith &amp; B<f6>hlke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Gymnothorax sagmacephalus","B<f6>hlke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,0.5340000153,NA,"demersal"
"Gymnothorax shaoi","Chen &amp; Loh, 2007","dd",NA,NA,NA,NA,NA,NA,467.7999878,0.6859999847,NA,"benthopelagic"
"Gymnothorax sokotrensis","Kotthaus, 1968","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Gymnothorax vagrans","(Seale, 1917)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Uropterygius genie","Randall &amp; Golani, 1995","dd",NA,NA,NA,NA,NA,NA,NA,0.1779999924,9,"demersal"
"Uropterygius golanii","McCosker &amp; Smith, 1997","dd",NA,NA,NA,NA,NA,NA,NA,0.4529999924,5,"demersal"
"Myroconger compressus","G<fc>nther, 1870","dd",NA,NA,NA,NA,NA,NA,NA,0.5379999924,NA,"demersal"
"Derilissus nanus","Briggs, 1969","dd",NA,NA,NA,NA,NA,NA,NA,0.01409999967,40,"demersal"
"Gramma dejongi","Victor &amp; Randall, 2010","dd",NA,NA,NA,NA,NA,NA,NA,0.045,17.5,"reef-associated"
"Parioglossus lineatus","Rennis &amp; Hoese, 1985","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reef-associated"
"Sicyopterus macrostetholepis","(Bleeker, 1853)","dd",NA,NA,NA,NA,NA,NA,NA,0.1030000019,NA,"demersal"
"Taenioides cirratus","(Blyth, 1860)","dd",NA,NA,NA,NA,NA,NA,NA,0.3,3,"demersal"
"Kuhlia munda","(De Vis, 1884)","dd",NA,NA,NA,NA,NA,NA,NA,0.1339999962,NA,"benthopelagic"
"Rhyacichthys guilberti","Dingerkus &amp; S<e9>ret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,0.18,2.5,"demersal"
"Oneirodes bradburyae","Grey, 1956","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Parasaccogaster rhamphidognatha","(Cohen, 1987)","dd",NA,NA,NA,NA,NA,NA,NA,0.06,NA,"bathydemersal"
"Eustomias leptobolus","Regan &amp; Trewavas, 1930","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic"
"Sciades passany","(Valenciennes, 1840)","dd",7.71957,8,NA,6.2,28.8,NA,15000,1,NA,NA
"Rhombosolea retiaria","Hutton, 1874","dd",2.4667,2,NA,2.3,8.3,NA,NA,0.25,NA,NA
"Ariosoma anago","(Temminck &amp; Schlegel, 1846)","dd",NA,NA,NA,NA,NA,NA,NA,0.6,16,"demersal"
"Ophichthus leonensis","Blache, 1975","dd",NA,NA,NA,NA,NA,NA,NA,0.2320000076,NA,"bathydemersal"
"Heteroconger tricia","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,0.4959999847,NA,"demersal"
"Promyllantor atlanticus","Karmovskaya, 2006","dd",NA,NA,NA,NA,NA,NA,NA,0.5179999924,NA,"bathydemersal"
"Ichthyapus insularis","McCosker, 2004","dd",NA,NA,NA,NA,NA,NA,NA,0.4270000076,0.5,"reef-associated"
"Ariosoma obud","Herre, 1923","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Gorgasia sillneri","Klausewitz, 1962","dd",NA,NA,NA,NA,NA,NA,NA,0.8380000305,NA,"demersal"
"Gorgasia inferomaculata","(Blache, 1977)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Ariosoma bauchotae","Karrer, 1982","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathydemersal"
"Hemerorhinus opici","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,0.325,NA,"demersal"
"Ariosoma multivertebratum","Karmovskaya, 2004","dd",NA,NA,NA,NA,NA,NA,NA,0.5420000076,380,"benthopelagic"
"Heteroconger tomberua","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,0.4279999924,NA,"demersal"
"Xyrias guineensis","(Blache, 1975)","dd",NA,NA,NA,NA,NA,NA,NA,0.6359999847,NA,"demersal"
"Ariosoma ophidiophthalmus","Karmovskaya, 1991","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Ariosoma anagoides","(Bleeker, 1853)","dd",NA,NA,NA,NA,NA,NA,NA,0.51,130,"demersal"
"Dalophis obtusirostris","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,0.3879999924,NA,"demersal"
"Ariosoma nigrimanum","Norman, 1939","dd",NA,NA,NA,NA,NA,NA,NA,0.335,NA,"demersal"
"Heteroconger chapmani","(Herre, 1923)","dd",NA,NA,NA,NA,NA,NA,NA,0.69,NA,"demersal"
"Herpetoichthys regius","(Richardson, 1848)","dd",NA,NA,NA,NA,NA,NA,NA,0.9,NA,"demersal"
"Gnathophis xenica","(Matsubara &amp; Ochiai, 1951)","dd",NA,NA,NA,NA,NA,NA,NA,0.32,NA,"demersal"
"Acromycter longipectoralis","Karmovskaya, 2004","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bathypelagic"
"Gnathophis heterolinea","(Kotthaus, 1968)","dd",NA,NA,NA,NA,NA,NA,NA,NA,210,"demersal"
"Kenyaconger heemstrai","Smith &amp; Karmovskaya, 2003","dd",NA,NA,NA,NA,NA,NA,NA,0.2670000076,NA,"bathydemersal"
"Dalophis multidentatus","Blache &amp; Bauchot, 1972","dd",NA,NA,NA,NA,NA,NA,NA,0.1530000019,NA,"demersal"
"Castleichthys auritus","Smith, 2004","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"benthopelagic"
"Apterichtus gracilis","(Kaup, 1856)","dd",NA,NA,NA,NA,NA,NA,NA,0.3189999962,NA,"demersal"
"Conger philippinus","Kanazawa, 1958","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Histiobranchus bathybius","(G<fc>nther, 1877)","dd",NA,NA,NA,NA,NA,NA,NA,1.37,2867.5,"benthopelagic"
"Gordiichthys ergodes","McCosker, B<f6>hlke &amp; B<f6>hlke, 1989","dd",NA,NA,NA,NA,NA,NA,NA,NA,99.5,"demersal"
"Bathycongrus bleekeri","Fowler, 1934","dd",NA,NA,NA,NA,NA,NA,NA,0.08,NA,"benthopelagic"
"Ariosoma mellissii","(G<fc>nther, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,0.4279999924,NA,"demersal"
"Ariosoma megalops","Fowler, 1938","dd",NA,NA,NA,NA,NA,NA,NA,0.1489999962,NA,"demersal"
"Bathycongrus trilineatus","(Castle, 1964)","dd",NA,NA,NA,NA,NA,NA,NA,NA,225,"demersal"
"Rhynchoconger squaliceps","(Alcock, 1894)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Ariosoma sazonovi","Karmovskaya, 2004","dd",NA,NA,NA,NA,NA,NA,NA,NA,300,"benthopelagic"
"Bascanichthys inopinatus","McCosker, B<f6>hlke &amp; B<f6>hlke, 1989","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Paraconger ophichthys","(Garman, 1899)","dd",NA,NA,NA,NA,NA,NA,NA,NA,976.5,"demersal"
"Gorgasia cotroneii","(D'Ancona, 1928)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Heteroconger balteatus","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Albula koreana","Kwun &amp; Kim, 2011","dd",NA,NA,NA,NA,NA,NA,NA,0.3500999832,NA,"pelagic-neritic"
"Ilisha obfuscata","Wongratana, 1983","dd",NA,NA,NA,NA,NA,NA,NA,0.07400000095,25,"pelagic-neritic"
"Pellona dayi","Wongratana, 1983","dd",NA,NA,NA,NA,NA,NA,NA,0.135,25,"pelagic-neritic"
"Upeneus indicus","Uiblein &amp; Heemstra, 2010","dd",NA,NA,NA,NA,NA,NA,NA,0.14,NA,"reef-associated"
"Acentrogobius ennorensis","Menon &amp; Rema Devi, 1980","dd",NA,NA,NA,NA,NA,NA,NA,0.05800000191,NA,"demersal"
"Awaous fluviatilis","(Rao, 1971)","dd",NA,NA,NA,NA,NA,NA,NA,0.01700000048,NA,"demersal"
"Oligolepis dasi","(Talwar, Chatterjee &amp; Dev Roy, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Oxyurichthys paulae","Pezold, 1998","dd",NA,NA,NA,NA,NA,NA,NA,0.06840000153,NA,"demersal"
"Parapocryptes rictuosus","(Valenciennes, 1837)","dd",NA,NA,NA,NA,NA,NA,NA,0.15,NA,"demersal"
"Silhouettea indica","Visweswara Rao, 1971","dd",NA,NA,NA,NA,NA,NA,NA,0.035,NA,"demersal"
"Cynoglossus dubius","Day, 1873","dd",17.85,17,3.5,4.3,17.8,NA,NA,0.5,NA,NA
"Zebrias annandalei","Talwar &amp; Chakrapany, 1967","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Zebrias keralensis","Joglekar, 1976","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Scyliorhinus haeckelii","(Miranda Ribeiro, 1907)","dd",44.3327789307,24,NA,1.9,7.7,NA,NA,0.6,NA,NA
"Cirrhigaleus asper","(Merrett, 1973)","dd",NA,NA,NA,NA,NA,NA,NA,1.2,425,"bathydemersal"
"Plecoglossus altivelis","(Temminck &amp; Schlegel, 1846)","dd",NA,NA,NA,NA,NA,NA,NA,0.7,NA,"demersal"
"Eleotris sandwicensis","Vaillant &amp; Sauvage, 1875","dd",1,1,NA,3.1,11.8,NA,NA,0.33,NA,NA
"Lentipes concolor","(Gill, 1860)","dd",1.7414,3,NA,1.4,4,NA,NA,0.07,NA,NA
"Luciogobius pallidus","Regan, 1940","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Mordacia lapicida","(Gray, 1851)","dd",NA,NA,NA,NA,NA,NA,NA,0.54,NA,"demersal"
"Foa madagascariensis","Petit, 1931","dd",NA,NA,NA,NA,NA,NA,NA,NA,5.5,"demersal"
"Paraliparis plagiostomus","Stein, Chernova &amp; Andriashev, 2001","dd",NA,NA,NA,NA,NA,NA,NA,0.1369999981,NA,"bathydemersal"
"Cnidoglanis macrocephalus","(Valenciennes, 1840)","dd",19.745,41,2.8,3.2,14.4,NA,2500,0.91,NA,NA
"Callionymus leucobranchialis","Fowler, 1941","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Thamnaconus melanoproctes","(Boulenger, 1889)","dd",NA,NA,NA,NA,NA,NA,NA,0.2,115,"demersal"
"Bathycongrus retrotinctus","(Jordan &amp; Snyder, 1901)","dd",NA,NA,NA,NA,NA,NA,NA,0.54,300,"bathydemersal"
