date,data_src,genus,species,length_m,mass_g,depth_num,depth_zone,commercial
2005,fbs,Abyssoberyx,levisquamosus,16.79999924,NA,NA,bathypelagic,NA
1977,fbs,Abyssobrotula,galatheae,16.5,NA,5740,bathypelagic,0
1846,fbs,Acanthaluteres,brownii,55,NA,NA,reef-associated,NA
1824,fbs,Acanthaluteres,spilomelanurus,14,NA,NA,demersal,NA
1873,fbs,Acanthaluteres,vittiger,35,NA,20.5,demersal,NA
1993,fbs,Acanthanectes,hystrix,3.5,NA,17,demersal,NA
1993,fbs,Acanthanectes,rufus,3.549999952,NA,20,reef-associated,NA
1963,fbs,Acanthaphritis,barbata,10,NA,NA,demersal,NA
1880,fbs,Acanthaphritis,grandisquamis,NA,NA,132.5,demersal,NA
1971,fbs,Acanthaphritis,ozawai,10.80000019,NA,NA,demersal,NA
1996,fbs,Acanthaphritis,unoorum,NA,NA,NA,demersal,NA
1927,fbs,Acanthemblemaria,aspera,4,NA,NA,reef-associated,NA
1999,fbs,Acanthemblemaria,atrata,3.200000048,NA,18,demersal,NA
1940,fbs,Acanthemblemaria,balanorum,5.190000057,NA,3,reef-associated,NA
1974,fbs,Acanthemblemaria,betinensis,4.300000191,NA,NA,reef-associated,NA
1966,fbs,Acanthemblemaria,castroi,6,NA,12,reef-associated,NA
1957,fbs,Acanthemblemaria,chaplini,4.5,NA,7,demersal,NA
1938,fbs,Acanthemblemaria,crockeri,6,NA,30.5,reef-associated,NA
1963,fbs,Acanthemblemaria,exilispinus,5.5,NA,3,reef-associated,NA
1974,fbs,Acanthemblemaria,greenfieldi,3.599999905,NA,NA,reef-associated,NA
1936,fbs,Acanthemblemaria,hancocki,4.5,NA,3,reef-associated,NA
2002,fbs,Acanthemblemaria,harpeza,NA,NA,2.5,demersal,NA
2010,fbs,Acanthemblemaria,hastingsi,5.099999905,NA,2,demersal,NA
1996,fbs,Acanthemblemaria,johnsoni,2,NA,NA,reef-associated,NA
1940,fbs,Acanthemblemaria,macrospilus,6,NA,8.5,reef-associated,NA
1999,fbs,Acanthemblemaria,mangognatha,3.089999914,NA,16,demersal,NA
1961,fbs,Acanthemblemaria,maria,5.099999905,NA,NA,reef-associated,NA
1974,fbs,Acanthemblemaria,medusa,4,NA,NA,reef-associated,NA
1989,fbs,Acanthemblemaria,paula,1.799999952,NA,1.5,reef-associated,NA
1970,fbs,Acanthemblemaria,rivasi,3,NA,NA,reef-associated,NA
1919,fbs,Acanthemblemaria,spinosa,3.099999905,NA,6.5,reef-associated,NA
1988,fbs,Acanthemblemaria,stephensi,5,NA,9.5,reef-associated,NA
1828,fbs,Acanthistius,brasilianus,60,NA,NA,benthopelagic,1
1859,fbs,Acanthistius,cinctus,50,NA,NA,reef-associated,NA
1913,fbs,Acanthistius,fuscus,40,NA,NA,pelagic-neritic,NA
2010,fbs,Acanthistius,joanae,14,NA,81.5,pelagic-neritic,NA
1859,fbs,Acanthistius,ocellatus,45,NA,NA,reef-associated,NA
1981,fbs,Acanthistius,pardalotus,NA,NA,NA,reef-associated,NA
1840,fbs,Acanthistius,patachonicus,31,NA,NA,demersal,NA
1982,fbs,Acanthistius,paxtoni,NA,NA,32.5,reef-associated,NA
1846,fbs,Acanthistius,pictus,47,1862,NA,reef-associated,NA
1861,fbs,Acanthistius,sebastoides,35,NA,15.5,demersal,1
1828,fbs,Acanthistius,serratus,50,NA,NA,reef-associated,NA
1835,fbs,Acanthocepola,abbreviata,30,NA,25,benthopelagic,NA
1888,fbs,Acanthocepola,indica,35,NA,NA,benthopelagic,NA
1845,fbs,Acanthocepola,krusensternii,40,NA,26.5,demersal,NA
1835,fbs,Acanthocepola,limbata,50,NA,90,demersal,1
1884,fbs,Acanthochaenus,luetkenii,14.10000038,NA,3526,benthopelagic,NA
1855,fbs,Acanthochromis,polyacanthus,14,NA,33,reef-associated,NA
1841,fbs,Acanthoclinus,fuscus,30,NA,2,demersal,0
1801,fbs,Acanthoclinus,littoreus,12.60000038,NA,NA,demersal,NA
1985,fbs,Acanthoclinus,marilynae,17,NA,40,demersal,0
1985,fbs,Acanthoclinus,matti,NA,NA,NA,reef-associated,NA
1985,fbs,Acanthoclinus,rua,11.5,NA,40,demersal,0
1832,fbs,Acanthocybium,solandri,250,83000,10,pelagic-oceanic,1
1995,fbs,Acanthodraco,dewitti,NA,NA,NA,bathydemersal,NA
1942,fbs,Acanthogobius,elongatus,NA,NA,NA,pelagic-neritic,NA
1845,fbs,Acanthogobius,flavimanus,30,NA,3.5,demersal,1
1845,fbs,Acanthogobius,hasta,50,400,NA,demersal,1
1996,fbs,Acanthogobius,insularis,NA,NA,NA,pelagic-neritic,NA
1879,fbs,Acanthogobius,lactipes,9.399999619,NA,NA,demersal,1
1985,fbs,Acanthogobius,luridus,6,NA,NA,demersal,NA
1845,fbs,Acanthogobius,stigmothonus,NA,NA,NA,demersal,NA
1810,fbs,Acantholabrus,palloni,25,NA,265,reef-associated,1
1969,fbs,Acantholiparis,caecus,3.900000095,NA,1711,bathypelagic,NA
1912,fbs,Acantholiparis,opercularis,6.900000095,NA,1918.5,bathydemersal,NA
1896,fbs,Acantholumpenus,mackayi,70,NA,100,demersal,NA
1878,fbs,Acanthonus,armatus,37.5,NA,2793,bathypelagic,0
2006,fbs,Acanthopagrus,akazakii,18.5,NA,NA,demersal,NA
2013,fbs,Acanthopagrus,arabicus,34.5,NA,NA,pelagic-neritic,1
1859,fbs,Acanthopagrus,australis,66,4500,NA,demersal,1
1775,fbs,Acanthopagrus,berda,90,3200,NA,demersal,1
1775,fbs,Acanthopagrus,bifasciatus,36.20000076,NA,11,reef-associated,1
1949,fbs,Acanthopagrus,butcheri,60,4000,NA,demersal,1
1801,fbs,Acanthopagrus,catenula,36.40000153,NA,NA,reef-associated,NA
2008,fbs,Acanthopagrus,chinshira,20.39999962,NA,NA,pelagic-neritic,NA
1822,fbs,Acanthopagrus,datnia,31.39999962,566.4000244,NA,demersal,NA
1782,fbs,Acanthopagrus,latus,40,1500,NA,demersal,NA
2013,fbs,Acanthopagrus,morrisoni,45,2000,NA,pelagic-neritic,NA
2010,fbs,Acanthopagrus,omanensis,14.5,NA,NA,demersal,NA
2010,fbs,Acanthopagrus,pacificus,50,NA,NA,pelagic-neritic,NA
1935,fbs,Acanthopagrus,palmaris,40,NA,NA,reef-associated,NA
2009,fbs,Acanthopagrus,randalli,32.20000076,NA,NA,benthopelagic,NA
1854,fbs,Acanthopagrus,schlegelii,50,3200,NA,demersal,1
2013,fbs,Acanthopagrus,sheim,30,NA,NA,demersal,NA
1962,fbs,Acanthopagrus,sivicolus,45,2500,NA,demersal,1
2006,fbs,Acanthopagrus,taiwanensis,18.39999962,NA,NA,demersal,NA
1852,fbs,Acanthopagrus,vagus,26.20000076,NA,NA,demersal,NA
2013,fbs,Acanthoplesiops,cappuccino,1.639999986,NA,23.5,reef-associated,NA
1990,fbs,Acanthoplesiops,echinatus,4,NA,21,pelagic-neritic,NA
1953,fbs,Acanthoplesiops,hiatti,2.400000095,NA,9,reef-associated,0
1888,fbs,Acanthoplesiops,indicus,5,NA,4,demersal,0
2020,fbs,Acanthoplesiops,jessicae,1.480000019,NA,46,demersal,NA
2004,fbs,Acanthoplesiops,naka,0.99000001,NA,26.5,pelagic-neritic,NA
1985,fbs,Acanthoplesiops,psilogaster,2.25999999,NA,12.5,demersal,NA
1904,fbs,Acanthopsetta,nadeshnyi,46,1200,459,demersal,1
1905,fbs,Acanthosphex,leurynnis,3.099999905,NA,32.5,demersal,NA
1865,fbs,Acanthostracion,guineense,18,NA,NA,demersal,NA
1863,fbs,Acanthostracion,notacanthus,50,NA,14,demersal,NA
1876,fbs,Acanthostracion,polygonius,50,152.3999939,41.5,reef-associated,1
1758,fbs,Acanthostracion,quadricornis,55,NA,40.5,reef-associated,1
1803,fbs,Acanthurus,achilles,24,NA,5,reef-associated,1
2017,fbs,Acanthurus,albimento,25.23999977,NA,NA,reef-associated,NA
1987,fbs,Acanthurus,albipectoralis,33,NA,12.5,reef-associated,NA
1995,fbs,Akko,dionaea,8.050000191,NA,NA,demersal,NA
2004,fbs,Akko,rossi,9,NA,8.5,demersal,NA
2008,fbs,Alionematichthys,ceylonensis,7.199999809,NA,NA,reef-associated,NA
2008,fbs,Alionematichthys,crassiceps,6.300000191,NA,2.5,reef-associated,NA
1987,fbs,Alionematichthys,minyomma,7.789999962,NA,4.5,reef-associated,0
2008,fbs,Alionematichthys,phuketensis,3.599999905,NA,2.5,reef-associated,NA
1890,fbs,Alionematichthys,piger,8.399999619,NA,6,reef-associated,NA
2008,fbs,Alionematichthys,plicatosurculus,7.900000095,NA,5,reef-associated,NA
1954,fbs,Alionematichthys,riukiuensis,7.869999886,NA,5,reef-associated,NA
2008,fbs,Alionematichthys,samoaensis,5.400000095,NA,NA,reef-associated,NA
2008,fbs,Alionematichthys,shinoharai,3.400000095,NA,NA,reef-associated,NA
2008,fbs,Alionematichthys,suluensis,4.900000095,NA,2.5,reef-associated,NA
2008,fbs,Alionematichthys,winterbottomi,8,NA,10,reef-associated,NA
1758,fbs,Allenbatrachus,grunniens,30,NA,NA,demersal,0
2004,fbs,Allenbatrachus,meridionalis,18.89999962,NA,NA,demersal,NA
1870,fbs,Allenbatrachus,reticulatus,11,NA,NA,demersal,NA
1944,fbs,Allenichthys,glauerti,19,NA,NA,demersal,NA
1972,fbs,Allips,concolor,NA,NA,1.5,demersal,NA
1978,fbs,Alloblennius,anuchalis,2.390000105,NA,NA,demersal,NA
2012,fbs,Alloblennius,frondiculus,2.380000114,NA,1.5,demersal,NA
1871,fbs,Alloblennius,jugularis,5,NA,NA,demersal,0
1978,fbs,Alloblennius,parvus,2.599999905,NA,8,demersal,NA
1956,fbs,Acanthurus,auranticavus,45,NA,10.5,reef-associated,1
1855,fbs,Acanthurus,bahianus,NA,NA,21,reef-associated,NA
1831,fbs,Acanthurus,bariene,50,NA,28,reef-associated,1
1835,fbs,Acanthurus,blochii,45,NA,8.5,reef-associated,1
1787,fbs,Acanthurus,chirurgus,39,5100,13.5,reef-associated,1
1960,fbs,Acanthurus,chronixis,28,NA,3,reef-associated,0
1801,fbs,Acanthurus,coeruleus,39,NA,21,reef-associated,1
1835,fbs,Acanthurus,dussumieri,54,NA,67.5,reef-associated,1
1951,fbs,Acanthurus,fowleri,45,NA,26,reef-associated,1
1775,fbs,Acanthurus,gahhm,40,NA,20.5,reef-associated,NA
1843,fbs,Acanthurus,grammoptilus,35,900,56.5,reef-associated,1
1801,fbs,Acanthurus,guttatus,26,NA,4,reef-associated,1
1931,fbs,Acanthurus,japonicus,21,NA,10.5,reef-associated,NA
1927,fbs,Acanthurus,leucocheilus,45,NA,21.5,reef-associated,NA
1903,fbs,Acanthurus,leucopareius,25,NA,43,reef-associated,1
1833,fbs,Acanthurus,leucosternon,54,NA,12.5,reef-associated,1
1758,fbs,Acanthurus,lineatus,38,NA,7.5,reef-associated,1
1923,fbs,Acanthurus,maculiceps,40,NA,8,reef-associated,1
1829,fbs,Acanthurus,mata,50,NA,52.5,reef-associated,1
1876,fbs,Acanthurus,monroviae,45,NA,102.5,demersal,1
1758,fbs,Acanthurus,nigricans,21.29999924,NA,34,reef-associated,0
1929,fbs,Acanthurus,nigricauda,40,NA,15.5,reef-associated,1
1775,fbs,Acanthurus,nigrofuscus,21,NA,12.5,reef-associated,1
1835,fbs,Acanthurus,nigroris,25,NA,45.5,reef-associated,NA
1929,fbs,Acanthurus,nubilus,26,NA,47.5,reef-associated,NA
1801,fbs,Acanthurus,olivaceus,35,NA,24.5,reef-associated,1
1868,fbs,Acanthurus,polyzona,11,NA,NA,reef-associated,NA
1834,fbs,Acanthurus,pyroferus,29,NA,32,reef-associated,1
1957,fbs,Acanthurus,randalli,18,NA,10.5,reef-associated,NA
1999,fbs,Acanthurus,reversus,34,NA,9.5,reef-associated,NA
1775,fbs,Acanthurus,sohal,40,NA,NA,reef-associated,NA
1861,fbs,Acanthurus,tennentii,31,NA,20.5,reef-associated,1
1923,fbs,Acanthurus,thompsoni,27,NA,61.5,reef-associated,NA
1860,fbs,Acanthurus,tractus,38.09999847,NA,28,reef-associated,1
1758,fbs,Acanthurus,triostegus,27,NA,45,reef-associated,1
1993,fbs,Acanthurus,tristis,25,NA,16,reef-associated,NA
1835,fbs,Acanthurus,xanthopterus,70,NA,50.5,reef-associated,1
2000,fbs,Acarobythites,larsonae,2.519999981,NA,1.5,reef-associated,NA
1959,fbs,Acentrogobius,audax,10,NA,NA,demersal,NA
1837,fbs,Acentrogobius,caninus,18.29999924,51.59999847,NA,demersal,NA
2012,fbs,Acentrogobius,cenderawasih,NA,NA,15,reef-associated,NA
1849,fbs,Acentrogobius,cyanomos,11.5,NA,NA,benthopelagic,0
1941,fbs,Acentrogobius,dayi,11,NA,NA,demersal,NA
1980,fbs,Acentrogobius,ennorensis,5.800000191,NA,NA,demersal,NA
1876,fbs,Acentrogobius,griseus,8,NA,NA,demersal,0
1853,fbs,Acentrogobius,janthinopterus,12.5,NA,NA,reef-associated,NA
2015,fbs,Acentrogobius,limarius,3.380000114,NA,NA,demersal,NA
1873,fbs,Acentrogobius,masoni,NA,NA,NA,demersal,NA
1927,fbs,Acentrogobius,moloanus,8,NA,NA,demersal,NA
1927,fbs,Acentrogobius,multifasciatus,NA,NA,NA,demersal,NA
1775,fbs,Acentrogobius,nebulosus,18,NA,7.5,reef-associated,NA
1853,fbs,Acentrogobius,pflaumii,12,NA,NA,demersal,NA
1880,fbs,Acentrogobius,simplex,10,NA,NA,demersal,NA
1927,fbs,Acentrogobius,suluensis,3.299999952,NA,2.5,demersal,NA
2015,fbs,Acentrogobius,vanderloosi,4.769999981,NA,16.5,demersal,NA
1893,fbs,Acentrogobius,viganensis,NA,NA,NA,demersal,NA
2015,fbs,Acentrogobius,violarisi,NA,NA,16.5,demersal,NA
1837,fbs,Acentrogobius,viridipunctatus,16.5,NA,NA,demersal,0
1949,fbs,Acentronura,breviperula,5,NA,24,reef-associated,NA
1850,fbs,Acentronura,gracilissima,NA,NA,NA,reef-associated,NA
1870,fbs,Acentronura,tentaculata,6.300000191,NA,10.5,reef-associated,NA
2005,fbs,Acentrophryne,dolichonema,NA,NA,653,bathypelagic,NA
1926,fbs,Acentrophryne,longidens,NA,NA,NA,bathypelagic,NA
1851,fbs,Achiroides,leucorhynchos,8,NA,NA,demersal,NA
1850,fbs,Achiroides,melanorhynchus,14,NA,NA,demersal,NA
1930,fbs,Achiropsetta,tricholepis,39,NA,603.5,demersal,NA
1758,fbs,Achirus,achirus,37,1000,10.5,demersal,NA
1940,fbs,Achirus,declivis,18.70000076,90.19999695,NA,demersal,NA
1880,fbs,Achirus,klunzingeri,23,NA,27,demersal,1
1758,fbs,Achirus,lineatus,33.09999847,29.5,10.5,reef-associated,NA
1869,fbs,Achirus,mazatlanus,22.5,NA,35,demersal,1
2009,fbs,Achirus,mucuri,9.029999733,NA,NA,benthopelagic,NA
1862,fbs,Achirus,scutum,28,NA,29.5,demersal,1
1936,fbs,Achirus,zebrinus,NA,NA,NA,demersal,NA
1843,fbs,Achoerodus,gouldii,175,NA,35,reef-associated,1
1866,fbs,Achoerodus,viridis,62,NA,20.5,reef-associated,NA
1818,fbs,Acipenser,brevirostrum,143,23000,29.5,demersal,1
1833,fbs,Acipenser,gueldenstaedtii,236,115000,51,demersal,1
1854,fbs,Acipenser,medirostris,270,159000,40,demersal,1
1892,fbs,Acipenser,mikadoi,150,NA,NA,demersal,1
1836,fbs,Acipenser,naccarii,200,25000,25,demersal,1
1828,fbs,Acipenser,nudiventris,211,80000,45,demersal,1
1815,fbs,Acipenser,oxyrinchus,403,NA,23.5,demersal,1
1897,fbs,Acipenser,persicus,255,70000,NA,demersal,1
1869,fbs,Acipenser,schrenckii,300,190000,NA,demersal,1
1835,fbs,Acipenser,sinensis,130,6.00E+05,NA,demersal,1
1771,fbs,Acipenser,stellatus,250,80000,55,demersal,1
1758,fbs,Acipenser,sturio,600,4.00E+05,48.5,demersal,1
1836,fbs,Acipenser,transmontanus,610,816000,61.5,demersal,1
1851,fbs,Acreichthys,hajam,7,NA,NA,demersal,NA
1900,fbs,Acreichthys,radiatus,7,NA,7,reef-associated,NA
1758,fbs,Acreichthys,tomentosus,14,NA,8.5,reef-associated,1
1897,fbs,Acromycter,alcocki,25.29999924,NA,514,benthopelagic,NA
1989,fbs,Acromycter,atlanticus,29.5,NA,571.5,bathydemersal,NA
2004,fbs,Acromycter,longipectoralis,NA,NA,NA,bathypelagic,NA
1958,fbs,Acromycter,nezumi,40,NA,NA,demersal,NA
1932,fbs,Acromycter,perturbator,NA,NA,NA,bathydemersal,NA
2002,fbs,Acropoma,argentistigma,NA,NA,NA,pelagic-neritic,NA
2002,fbs,Acropoma,boholensis,13.19999981,NA,NA,pelagic-neritic,NA
1953,fbs,Acropoma,hanedai,13.52000046,NA,225,benthopelagic,1
1859,fbs,Acropoma,japonicum,20,NA,300,bathypelagic,1
1988,fbs,Acropoma,lecorneti,35,NA,NA,bathypelagic,NA
2014,fbs,Acropoma,profundum,NA,NA,NA,bathypelagic,NA
1841,fbs,Acroteriobatus,annulatus,140,NA,NA,demersal,1
1841,fbs,Acroteriobatus,blochii,100,NA,NA,reef-associated,NA
1926,fbs,Acroteriobatus,leucospilus,120,NA,NA,demersal,0
1926,fbs,Acroteriobatus,ocellatus,81,NA,122.5,demersal,NA
2016,fbs,Acroteriobatus,omanensis,60,NA,NA,benthopelagic,NA
1995,fbs,Acroteriobatus,salalah,78,NA,NA,demersal,NA
1973,fbs,Acroteriobatus,variegatus,75,NA,25,demersal,NA
1926,fbs,Acroteriobatus,zanzibarensis,75,NA,NA,demersal,NA
1959,fbs,Aculeola,nigra,60,NA,335,demersal,0
1955,fbs,Acyrtops,amplicirrus,1.860000014,NA,NA,demersal,NA
1927,fbs,Acyrtops,beryllinus,2.5,NA,NA,reef-associated,NA
1955,fbs,Acyrtus,artius,3,NA,NA,reef-associated,NA
2014,fbs,Acyrtus,lanthanum,2.380000114,NA,3.5,benthopelagic,NA
2004,fbs,Acyrtus,pauciradiatus,1.629999995,NA,NA,demersal,NA
1868,fbs,Acyrtus,rubiginosus,3.5,NA,2,demersal,NA
1979,fbs,Adelosebastes,latens,30,NA,1050,bathydemersal,NA
2017,fbs,Adelotremus,deloachi,3.5,NA,13.5,pelagic-neritic,NA
2012,fbs,Adelotremus,leptus,NA,NA,8,pelagic-neritic,NA
1952,fbs,Adventor,elongatus,NA,NA,NA,demersal,NA
1854,fbs,Aeoliscus,punctulatus,15,NA,NA,reef-associated,NA
1861,fbs,Aeoliscus,strigatus,15,NA,22,reef-associated,0
1858,fbs,Aesopia,cornuta,25,NA,54,reef-associated,1
1861,fbs,Aetapcus,maculatus,21,NA,NA,demersal,NA
1775,fbs,Aethaloperca,rogaa,60,NA,31.5,reef-associated,1
2012,fbs,Aetheliparis,taurocanis,NA,NA,800,bathypelagic,NA
1962,fbs,Aethotaxis,mitopteryx,42,NA,NA,bathypelagic,0
1801,fbs,Aetobatus,flagellum,72,13930,NA,benthopelagic,1
1865,fbs,Aetobatus,laticeps,230,NA,NA,benthopelagic,NA
1790,fbs,Aetobatus,narinari,230,230000,40.5,benthopelagic,1
2013,fbs,Aetobatus,narutobiei,100,14400,NA,benthopelagic,NA
1823,fbs,Aetobatus,ocellatus,300,2.00E+05,50.5,benthopelagic,NA
1898,fbs,Aetomylaeus,asperrimus,79,NA,NA,demersal,NA
1817,fbs,Aetomylaeus,bovinus,NA,116000,80,benthopelagic,1
2015,fbs,Aetomylaeus,caeruleofasciatus,59.09999847,NA,63.5,pelagic-neritic,NA
1834,fbs,Aetomylaeus,maculatus,200,NA,9.5,reef-associated,1
1841,fbs,Aetomylaeus,milvus,NA,NA,NA,benthopelagic,NA
1801,fbs,Aetomylaeus,nichofii,65,NA,35.5,demersal,1
1852,fbs,Aetomylaeus,vespertilio,240,NA,55.5,benthopelagic,1
1880,fbs,Afurcagobius,suppositus,11,NA,NA,benthopelagic,NA
1904,fbs,Agonomalus,jordani,18,NA,57.5,demersal,NA
1979,fbs,Agonomalus,mozinoi,8.899999619,NA,6,demersal,NA
1858,fbs,Agonomalus,proboscidalis,20,NA,61,demersal,NA
1916,fbs,Agonopsis,asperoculis,NA,NA,19,demersal,NA
1840,fbs,Agonopsis,chiloensis,12.5,NA,201.5,demersal,0
1898,fbs,Agonopsis,sterletus,15,NA,66.5,demersal,0
1880,fbs,Agonopsis,vulsa,20,NA,81.5,demersal,NA
1832,fbs,Agonostomus,telfairii,75,NA,NA,pelagic-neritic,1
1758,fbs,Agonus,cataphractus,21,NA,135,demersal,0
1904,fbs,Agrostichthys,parkeri,300,NA,NA,pelagic-oceanic,NA
1884,fbs,Ahlia,egmontis,NA,NA,19,reef-associated,NA
1976,fbs,Ahliesaurus,berryi,26.89999962,NA,1000,bathypelagic,0
1976,fbs,Ahliesaurus,brevis,21,NA,1500,bathypelagic,NA
1977,fbs,Aiakas,kreffti,30.10000038,NA,720,bathydemersal,NA
1991,fbs,Aiakas,zinorum,8.699999809,NA,590,bathydemersal,NA
1836,fbs,Aidablennius,sphynx,8,NA,NA,demersal,NA
1987,fbs,Aioliops,brachypterus,2.400000095,NA,6.5,reef-associated,NA
1987,fbs,Aioliops,megastigma,3,NA,6,reef-associated,NA
1987,fbs,Aioliops,novaeguineae,2.299999952,NA,6,reef-associated,NA
1987,fbs,Aioliops,tetrophthalmus,NA,NA,2,reef-associated,NA
1916,fbs,Akarotaxis,nudiceps,13,NA,643,bathydemersal,0
1864,fbs,Akko,brevis,NA,NA,NA,demersal,NA
2006,fbs,Alabes,bathys,3.900000095,NA,254,bathydemersal,NA
1976,fbs,Alabes,brevis,2.299999952,NA,NA,demersal,NA
1845,fbs,Alabes,dorsalis,12,NA,5,demersal,NA
2004,fbs,Alabes,elongata,9.199999809,NA,7.5,demersal,NA
2004,fbs,Alabes,gibbosa,9.100000381,NA,3,demersal,NA
1976,fbs,Alabes,hoesei,4.5,NA,NA,demersal,NA
2004,fbs,Alabes,obtusirostris,4.599999905,NA,46.5,reef-associated,NA
2004,fbs,Alabes,occidentalis,4,NA,2.5,demersal,NA
1909,fbs,Alabes,parvula,5,NA,4.5,demersal,NA
2004,fbs,Alabes,scotti,4.800000191,NA,35,reef-associated,NA
2006,fbs,Alabes,springeri,3.099999905,NA,5,demersal,NA
1892,fbs,Albatrossia,pectoralis,210,86000,1820,bathydemersal,1
1801,fbs,Albula,argentea,70,NA,46,demersal,NA
1899,fbs,Albula,esuncula,32,NA,NA,reef-associated,NA
2011,fbs,Albula,gilberti,25.70000076,NA,NA,benthopelagic,NA
1847,fbs,Albula,goreensis,NA,NA,NA,reef-associated,NA
2011,fbs,Albula,koreana,35.00999832,NA,NA,pelagic-neritic,NA
2008,fbs,Albula,oligolepis,35.40000153,NA,NA,reef-associated,NA
1942,fbs,Albula,pacifica,NA,NA,NA,demersal,NA
1922,fbs,Albula,virgata,32.20000076,NA,NA,reef-associated,NA
1758,fbs,Albula,vulpes,104,10000,42,reef-associated,1
1881,fbs,Alcichthys,elongatus,44,1000,142,demersal,NA
1887,fbs,Alcockia,rostrata,35,NA,3400.5,bathypelagic,0
1836,fbs,Aldrichetta,forsteri,50,950,25,demersal,1
1877,fbs,Aldrovandia,affinis,55,NA,1645,benthopelagic,NA
1896,fbs,Aldrovandia,gracilis,55,NA,1510,bathypelagic,NA
1887,fbs,Aldrovandia,mediorostris,43,NA,1057.5,bathypelagic,NA
1977,fbs,Aldrovandia,oleosa,52,NA,1550,bathypelagic,NA
1888,fbs,Aldrovandia,phalacra,50,NA,1400,benthopelagic,NA
1878,fbs,Aldrovandia,rostrata,50.79999924,NA,3859.5,bathypelagic,NA
1817,fbs,Alectis,alexandrina,100,3170,NA,pelagic-neritic,1
1787,fbs,Alectis,ciliaris,150,22900,80,reef-associated,1
1830,fbs,Alectis,indica,165,25000,60,reef-associated,1
1814,fbs,Alectrias,alectrolophus,10,NA,50,demersal,NA
1902,fbs,Alectrias,benjamini,10,NA,10,demersal,NA
1938,fbs,Alectrias,cirratus,10,NA,2.5,demersal,NA
1938,fbs,Alectrias,gallinus,NA,NA,50,demersal,NA
2012,fbs,Alectrias,markevichi,6.599999905,NA,25,pelagic-neritic,NA
1985,fbs,Alectrias,mutsuensis,8.199999809,NA,30,demersal,NA
1912,fbs,Alectridium,aurantiacum,13.30000019,NA,28,benthopelagic,NA
1987,fbs,Alepes,apercna,29.5,NA,42.5,demersal,1
1775,fbs,Alepes,djedaba,40,124,NA,reef-associated,1
1793,fbs,Alepes,kleinii,18.20000076,NA,NA,reef-associated,1
1839,fbs,Alepes,melanoptera,25,NA,NA,pelagic-neritic,1
1833,fbs,Alepes,vari,56,NA,5,pelagic-neritic,1
1960,fbs,Alepisaurus,brevirostris,96,NA,1115.5,bathypelagic,NA
1833,fbs,Alepisaurus,ferox,215,9000,915,bathypelagic,NA
1883,fbs,Alepocephalus,agassizii,123,NA,1550,bathydemersal,1
1934,fbs,Alepocephalus,andersoni,NA,NA,NA,bathydemersal,NA
1948,fbs,Alepocephalus,antipodianus,66.19999695,NA,795,bathydemersal,NA
1899,fbs,Alepocephalus,asperifrons,NA,NA,1649,bathydemersal,NA
1923,fbs,Alepocephalus,australis,69,NA,1800,bathydemersal,1
1879,fbs,Alepocephalus,bairdii,100,NA,1032.5,bathydemersal,1
1891,fbs,Alepocephalus,bicolor,29,NA,759.5,bathydemersal,NA
